,Adultsmoking,Adult obesity Value,Physical inactivity Value,Excessivedrinking,Alcohol-impaired driving deaths Value,Drug poisoning deaths Value,Mental,Poor physical health days Value,target,target2,badval,FN,FP
1505,0.189,0.281,0.204,0.138,0.581,25.97,3.8,4.4,1,Above Median Income,1,1,0
1273,0.189,0.313,0.237,0.177,0.485,15.01,4.3,3.9,1,Above Median Income,0,0,0
696,0.212,0.294,0.157,0.186,0.308,10.68,2.7,3.7,1,Above Median Income,0,0,0
788,0.241,0.358,0.378,0.119,0.319,11.93,4.4,4.7,0,Below Median Income,0,0,0
17,0.26,0.338,0.322,0.107,0.301,12.62,5,5.2,0,Below Median Income,0,0,0
167,0.155,0.219,0.166,0.139,0.5,10.24,2.8,3.3,0,Below Median Income,1,0,1
296,0.22,0.31,0.263,0.137,0.375,3.53,3.9,3.7,0,Below Median Income,1,0,1
551,0.251,0.342,0.294,0.099,0.281,21.55,4.9,5.2,0,Below Median Income,0,0,0
1573,0.23,0.284,0.232,0.249,0.588,13.64,3.3,3.2,0,Below Median Income,1,0,1
56,0.156,0.221,0.189,0.152,0.341,18.61,3.5,3.7,0,Below Median Income,1,0,1
1068,0.361,0.314,0.284,0.22,0.676,18.48,5.3,3.8,0,Below Median Income,0,0,0
439,0.223,0.3,0.252,0.189,0.333,5.48,2.1,2.5,1,Above Median Income,0,0,0
1613,0.171,0.303,0.252,0.226,0.351,14.2,2.7,3.1,1,Above Median Income,0,0,0
1568,0.2,0.38,0.349,0.109,0.444,37.17,4,5.8,0,Below Median Income,0,0,0
248,0.227,0.272,0.262,0.183,0.347,19.47,4.4,4.6,1,Above Median Income,1,1,0
1296,0.211,0.398,0.367,0.095,0.17,6.77,4.1,5.1,0,Below Median Income,0,0,0
1470,0.277,0.34,0.256,0.147,0.4,9.21,2.6,3.5,1,Above Median Income,0,0,0
1421,0.192,0.269,0.231,0.093,0.424,11.98,3.3,4.1,1,Above Median Income,1,1,0
40,0.157,0.268,0.18,0.185,0.268,17.08,3,3.3,1,Above Median Income,0,0,0
1318,0.195,0.293,0.273,0.116,0.38,20.55,4.3,3.8,0,Below Median Income,0,0,0
521,0.295,0.327,0.346,0.107,0.091,10.19,4,5.5,0,Below Median Income,0,0,0
1514,0.111,0.222,0.147,0.184,0.39,13.05,2.9,3,1,Above Median Income,0,0,0
958,0.278,0.286,0.222,0.22,0.318,9.44,3.4,2.2,1,Above Median Income,0,0,0
1241,0.247,0.369,0.334,0.176,0.453,17.19,4.5,4.8,0,Below Median Income,0,0,0
199,0.145,0.199,0.169,0.175,0.262,14.97,3.6,3.4,1,Above Median Income,0,0,0
1394,0.21,0.286,0.261,0.134,0.326,7.08,4.9,5.3,0,Below Median Income,0,0,0
988,0.297,0.329,0.269,0.224,0.282,11.23,3.5,3.9,1,Above Median Income,0,0,0
1095,0.181,0.337,0.346,0.114,0.293,12.7,3,2.7,0,Below Median Income,1,0,1
325,0.295,0.351,0.248,0.164,0.321,9.8,3.3,4.3,0,Below Median Income,0,0,0
878,0.168,0.311,0.262,0.181,0.3,2.72,2.7,3.1,1,Above Median Income,0,0,0
1129,0.254,0.335,0.289,0.125,0.4,11.64,4,4.1,0,Below Median Income,0,0,0
70,0.277,0.309,0.265,0.174,0.408,22.82,5.3,4.2,0,Below Median Income,0,0,0
1558,0.206,0.313,0.312,0.111,0.375,30.69,4.1,3.8,0,Below Median Income,0,0,0
1155,0.211,0.332,0.32,0.131,0.28,21.05,4.3,4.1,0,Below Median Income,0,0,0
957,0.231,0.286,0.289,0.12,0.259,5.68,2.9,4,0,Below Median Income,0,0,0
1231,0.177,0.334,0.238,0.123,0.391,8.54,2.7,3,0,Below Median Income,1,0,1
615,0.23,0.305,0.232,0.169,0.333,9.39,3.9,3.8,0,Below Median Income,1,0,1
1383,0.209,0.315,0.213,0.192,0.171,8.78,3,3.2,1,Above Median Income,0,0,0
191,0.245,0.287,0.253,0.211,0.375,14.12,5.6,5.6,1,Above Median Income,1,1,0
143,0.172,0.276,0.193,0.194,0.397,5.79,5.3,4.3,0,Below Median Income,0,0,0
743,0.135,0.318,0.205,0.175,0.091,5.85,2.3,2.1,1,Above Median Income,0,0,0
1105,0.189,0.289,0.235,0.204,0.403,16.66,3.7,3.3,1,Above Median Income,0,0,0
891,0.263,0.291,0.283,0.139,0.323,31.71,4.7,5.4,0,Below Median Income,0,0,0
640,0.193,0.292,0.223,0.186,0.258,8.81,2.9,3.3,1,Above Median Income,0,0,0
1507,0.232,0.346,0.232,0.186,0.475,22.23,4.1,4.5,1,Above Median Income,1,1,0
741,0.202,0.29,0.215,0.181,0.406,10.49,2.1,2.5,1,Above Median Income,0,0,0
336,0.145,0.272,0.205,0.203,0.378,7.17,3,3.1,1,Above Median Income,0,0,0
437,0.215,0.326,0.199,0.211,0.214,11.66,2,3.3,1,Above Median Income,0,0,0
82,0.392,0.36,0.372,0.191,0.091,22.29,3.7,4.5,0,Below Median Income,0,0,0
1544,0.218,0.329,0.336,0.074,0.174,21.63,4.3,5.2,0,Below Median Income,0,0,0
871,0.226,0.266,0.224,0.189,0.25,21.03,4.1,4.1,0,Below Median Income,0,0,0
943,0.226,0.269,0.265,0.133,0.381,13.82,2.8,3.4,0,Below Median Income,1,0,1
1496,0.261,0.346,0.245,0.191,0.473,10.48,3.6,3.7,0,Below Median Income,1,0,1
220,0.151,0.267,0.201,0.188,0.302,5.17,3.2,2.8,1,Above Median Income,0,0,0
1543,0.247,0.347,0.344,0.15,0.5,31.13,4.5,4,0,Below Median Income,0,0,0
1557,0.175,0.271,0.242,0.134,0.238,9.37,4.2,4,1,Above Median Income,1,1,0
146,0.154,0.212,0.162,0.175,0.376,15.53,3.2,2.8,1,Above Median Income,0,0,0
132,0.251,0.273,0.193,0.196,0.385,28.61,4.1,4.1,0,Below Median Income,0,0,0
734,0.15,0.247,0.162,0.198,0.25,7.14,2.5,2.7,1,Above Median Income,0,0,0
