title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'Lemon Tree', 29 theaters, 119 days / 17 weeks,"b'$687,100'",IFC,"April 17, 2009",b'Foreign',b'1 hrs. 46 min.',b'Unrated',b'N/A',"b'$7,387,488'"
b'Leolo',N/A,N/A,"b'$1,279,500'",Fine Line,"May 7, 1993",b'Foreign',b'1 hrs. 47 min.',b'Unrated',b'N/A',N/A
"b'Leon Morin, Priest'", 1 theaters, 105 days / 15 weeks,"b'$32,000'",Rialto,"April 17, 2009",b'Foreign',b'2 hrs. 10 min.',b'Unrated',b'N/A',N/A
b'Les Aimants', 22 theaters,N/A,"b'$1,604,300'",Alliance,"October 1, 2004",b'Foreign',b'1 hrs. 31 min.',b'Unrated',b'N/A',N/A
b'Les Choristes (Quebec)', 34 theaters,N/A,"b'$2,910,500'",Alliance,"October 1, 2004",b'Foreign',b'1 hrs. 35 min.',b'PG-13',b'N/A',"b'$3,635,164'"
b'Les Couloirs du Temps:<br/>Les Visiteurs 2', 24 theaters,N/A,"b'$269,700'",Miramax,"March 27, 1998",b'Foreign',b'1 hrs. 56 min.',b'Unrated',b'N/A',N/A
b'Les Invasions Barbares', 134 theaters, 126 days / 18 weeks,"b'$7,337,600'",Alliance,"May 9, 2003",b'Foreign',b'1 hrs. 39 min.',b'Unrated',b'N/A',"b'$16,840,624'"
b'Les Miserables (1995)',N/A,N/A,"b'$1,473,300'",Warner Bros.,"October 20, 1995",b'Foreign',b'2 hrs. 13 min.',b'R',b'N/A',N/A
b'Les Visiteurs',N/A,N/A,"b'$1,292,700'",Miramax,"July 12, 1996",b'Foreign',b'N/A',b'R',b'N/A',N/A
b'The Lesson', 1 theaters, 86 days / 12.3 weeks,"b'$9,500'",Film Movement,"March 4, 2015",b'Foreign',b'1 hrs. 45 min.',b'Unrated',b'N/A',"b'$9,045'"
b'Let My People Go!', 3 theaters, 56 days / 8 weeks,"b'$20,200'",Zeitgeist,"January 11, 2013",b'Foreign',b'1 hrs. 26 min.',b'Unrated',b'N/A',N/A
b'Let the Bullets Fly', 10 theaters, 56 days / 8 weeks,"b'$68,600'",Variance Films,"March 2, 2012",b'Foreign / Action',b'2 hrs. 12 min.',b'Unrated',b'N/A',"b'$104,336,887'"
b'Let the Right One In (2008)', 53 theaters, 189 days / 27 weeks,"b'$2,521,700'",Magnolia,"October 24, 2008",b'Foreign / Horror',b'1 hrs. 54 min.',b'R',b'N/A',"b'$11,227,336'"
"b""Let's Get Married""", 39 theaters, 38 days / 5.4 weeks,"b'$465,600'",China Lion,"April 3, 2015",b'Foreign',b'2 hrs. 7 min.',b'Unrated',b'N/A',"b'$462,918'"
b'Level Five', 2 theaters, 259 days / 37 weeks,"b'$27,100'",Icarus Films,"August 15, 2014",b'Foreign',b'1 hrs. 46 min.',b'Unrated',b'N/A',N/A
b'Leviathan (2014)', 80 theaters, 81 days / 11.6 weeks,"b'$1,161,700'",Sony Classics,"December 25, 2014",b'Foreign',b'2 hrs. 20 min.',b'R',b'N/A',"b'$1,092,800'"
"b""Li'l Quinquin""", 2 theaters, 91 days / 13 weeks,"b'$7,600'",Kino Lorber,"January 2, 2015",b'Foreign',b'3 hrs. 20 min.',b'Unrated',b'N/A',N/A
b'The Liberator', 77 theaters, 10 days / 1.4 weeks,"b'$121,200'",Cohen Media Group,"October 3, 2014",b'Foreign',b'1 hrs. 59 min.',b'Unrated',b'N/A',N/A
b'Life in a... METRO', 35 theaters, 28 days / 4 weeks,"b'$189,100'",UTV Communications,"May 11, 2007",b'Foreign',b'2 hrs. 5 min.',b'Unrated',b'N/A',"b'$6,316,418'"
b'Life Is Beautiful'," 1,136 theaters",N/A,"b'$98,245,900'",Miramax,"October 23, 1998",b'Foreign',b'1 hrs. 56 min.',b'PG-13',b'N/A',"b'$229,163,264'"
b'Life Is Beautiful (dubbed)', 31 theaters, 318 days / 45.4 weeks,"b'$538,500'",Miramax,"November 6, 1998",b'Foreign',b'1 hrs. 56 min.',b'PG-13',b'N/A',N/A
b'Life of Riley', 1 theaters, 84 days / 12 weeks,"b'$12,200'",Kino Lorber,"October 24, 2014",b'Foreign',b'1 hrs. 48 min.',b'Unrated',b'N/A',"b'$2,349,616'"
b'Life Partner', 26 theaters, 14 days / 2 weeks,"b'$133,000'",Studio 18,"August 14, 2009",b'Foreign',b'2 hrs. 18 min.',b'Unrated',b'N/A',"b'$457,340'"
"b'Life, Above All'", 18 theaters, 133 days / 19 weeks,"b'$147,000'",Sony Classics,"July 15, 2011",b'Foreign',b'1 hrs. 40 min.',b'PG-13',b'N/A',"b'$134,461'"
b'Lights in the Dusk', 1 theaters, 86 days / 12.3 weeks,"b'$17,700'",Strand,"June 13, 2007",b'Foreign',b'1 hrs. 18 min.',b'Unrated',b'N/A',"b'$1,615,018'"
"b'Like Father, Like Son (2014)'", 35 theaters,N/A,"b'$362,400'",IFC,"January 17, 2014",b'Foreign',b'2 hrs. 1 min.',b'Unrated',b'N/A',"b'$19,978,961'"
b'Like Someone in Love', 23 theaters,N/A,"b'$257,900'",IFC,"February 15, 2013",b'Foreign',b'1 hrs. 49 min.',b'Unrated',b'N/A',N/A
b'Like Water for Chocolate', 64 theaters,N/A,"b'$45,319,500'",Miramax,"February 19, 1993",b'Foreign',b'1 hrs. 45 min.',b'R',b'N/A',"b'$21,665,468'"
b'Lila Says', 6 theaters, 98 days / 14 weeks,"b'$164,000'",IDP,"June 24, 2005",b'Foreign',b'1 hrs. 29 min.',b'R',b'N/A',"b'$537,871'"
"b""Lion's Den""", 1 theaters, 77 days / 11 weeks,"b'$17,800'",Strand,"July 3, 2009",b'Foreign',b'1 hrs. 53 min.',b'Unrated',b'N/A',N/A
