title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'Warriors of Heaven and Earth', 9 theaters, 91 days / 13 weeks,"b'$115,700'",Sony Classics,"September 3, 2004",b'Foreign / Action',b'1 hrs. 59 min.',b'R',b'N/A',"b'$6,106,178'"
b'Warriors of the Rainbow:<br/>Seediq Bale', 13 theaters, 35 days / 5 weeks,"b'$148,900'",Well Go USA,"April 27, 2012",b'Foreign / Action',b'2 hrs. 34 min.',b'Unrated',b'$23 million',"b'$136,166'"
b'Water', 91 theaters, 175 days / 25 weeks,"b'$4,335,000'",Fox Searchlight,"April 28, 2006",b'Foreign',b'1 hrs. 54 min.',b'R',b'N/A',"b'$10,422,387'"
b'Water (Canada)',N/A,N/A,"b'$3,040,200'",Mongrel Media,"November 4, 2005",b'Foreign',b'1 hrs. 57 min.',b'PG-13',b'N/A',N/A
b'Water Lilies', 3 theaters, 140 days / 20 weeks,"b'$103,000'",Koch Lorber Films,"April 4, 2008",b'Foreign',b'1 hrs. 25 min.',b'Unrated',b'N/A',"b'$549,148'"
b'Watermark', 16 theaters, 42 days / 6 weeks,"b'$87,800'",Entertainment One,"April 4, 2014",b'Foreign',b'1 hrs. 30 min.',b'PG',b'N/A',N/A
b'The Way He Looks', 14 theaters, 98 days / 14 weeks,"b'$106,000'",Strand,"November 7, 2014",b'Foreign',b'1 hrs. 35 min.',b'Unrated',b'N/A',"b'$1,159,451'"
b'The Wayward Cloud',N/A,N/A,N/A,Unknown,N/A,b'Foreign',b'1 hrs. 49 min.',b'Not Yet Rated',b'N/A',"b'$342,076'"
b'We Are Family', 78 theaters, 28 days / 4 weeks,"b'$695,100'",UTV Communications,"September 3, 2010",b'Foreign',b'1 hrs. 55 min.',b'Unrated',b'N/A',"b'$1,031,070'"
b'We Are The Best!', 23 theaters, 105 days / 15 weeks,"b'$189,000'",Magnolia,"May 30, 2014",b'Foreign',b'1 hrs. 42 min.',b'Unrated',b'N/A',"b'$180,590'"
b'We Have a Pope', 27 theaters,N/A,"b'$584,600'",IFC,"April 6, 2012",b'Foreign',b'1 hrs. 45 min.',b'Unrated',b'N/A',"b'$16,157,875'"
"b""We Won't Grow Old Together (2012 re-release)""", 1 theaters, 213 days / 30.4 weeks,"b'$15,100'",The Film Desk,"June 8, 2012",b'Foreign',b'1 hrs. 50 min.',b'Unrated',b'N/A',N/A
b'The Wedding Banquet', 113 theaters,N/A,"b'$14,503,300'",Samuel Goldwyn,"August 6, 1993",b'Foreign',b'1 hrs. 51 min.',b'R',"b'$1,000,000'",N/A
b'A Wedding Invitation', 3 theaters, 14 days / 2 weeks,"b'$14,800'",CJ Entertainment,"May 24, 2013",b'Foreign',b'1 hrs. 41 min.',b'Unrated',b'N/A',"b'$14,350'"
b'The Wedding Song', 4 theaters, 147 days / 21 weeks,"b'$34,700'",Strand,"October 9, 2009",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',N/A
b'The Weeping Meadow', 1 theaters, 65 days / 9.3 weeks,"b'$33,700'",New Yorker,"September 14, 2005",b'Foreign',b'2 hrs. 50 min.',b'Unrated',b'N/A',N/A
"b""The Well-Digger's Daughter""", 16 theaters, 217 days / 31 weeks,"b'$426,800'",Kino Lorber,"July 20, 2012",b'Foreign',b'1 hrs. 47 min.',b'Unrated',b'N/A',"b'$12,626,424'"
b'Werckmeister Harmonies', 1 theaters,N/A,"b'$39,000'",Menemsha,"October 5, 2001",b'Foreign',b'2 hrs. 25 min.',b'Unrated',b'N/A',N/A
b'A Werewolf Boy', 20 theaters, 42 days / 6 weeks,"b'$369,300'",CJ Entertainment,"November 30, 2012",b'Foreign',b'2 hrs. 5 min.',b'Unrated',b'N/A',"b'$41,679,300'"
b'Wetlands', 10 theaters, 91 days / 13 weeks,"b'$63,300'",Strand,"September 5, 2014",b'Foreign',b'1 hrs. 45 min.',b'Unrated',b'N/A',"b'$10,560,478'"
b'What Now? Remind Me', 1 theaters, 7 days / 1 weeks,"b'$3,300'",Cinema Guild,"August 8, 2014",b'Foreign',b'2 hrs. 44 min.',b'Unrated',b'N/A',N/A
b'What the Snow Brings', 1 theaters, 49 days / 7 weeks,"b'$6,100'",Eleven Arts,"June 1, 2007",b'Foreign',b'1 hrs. 52 min.',b'Unrated',b'N/A',"b'$12,113'"
b'What Time Is It There?', 4 theaters,N/A,"b'$291,800'",Wellspring,"January 11, 2002",b'Foreign',b'1 hrs. 56 min.',b'Unrated',b'N/A',"b'$195,760'"
b'What Women Want (Wo Zhi Nu Run Xin) ', 26 theaters, 36 days / 5.1 weeks,"b'$136,100'",China Lion,"February 3, 2011",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',"b'$11,831,362'"
"b""What's In a Name?""", 12 theaters, 84 days / 12 weeks,"b'$8,700'",Under the Milky Way,"December 13, 2013",b'Foreign',b'N/A',b'Unrated',b'N/A',N/A
"b""What's Your Rashee?""", 78 theaters, 28 days / 4 weeks,"b'$293,500'",UTV Communications,"September 25, 2009",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$314,881'"
b'When Father Was Away on Business', 1 theaters, 7 days / 1 weeks,"b'$39,400'",Cannon Films,"October 11, 1985",b'Foreign',b'2 hrs. 16 min.',b'R',b'N/A',N/A
"b""When the Cat's Away""",N/A,N/A,"b'$2,782,200'",Sony Classics,"June 20, 1997",b'Foreign',b'1 hrs. 35 min.',b'R',b'N/A',N/A
b'When the Sea Rises', 2 theaters, 70 days / 10 weeks,"b'$31,800'",New Yorker,"January 13, 2006",b'Foreign',b'1 hrs. 33 min.',b'Unrated',b'N/A',N/A
b'When We Leave (Die Fremde)', 2 theaters,N/A,"b'$21,600'",Olive Films,"January 28, 2011",b'Foreign',b'1 hrs. 59 min.',b'Unrated',b'N/A',"b'$1,072,414'"
