title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'Sarkar Raj', 70 theaters, 28 days / 4 weeks,"b'$1,217,100'",Eros,"June 6, 2008",b'Foreign',b'2 hrs. 0 min.',b'Unrated',b'N/A',"b'$17,722,998'"
b'Satyagraha', 83 theaters, 31 days / 4.4 weeks,"b'$815,800'",UTV Communications,"August 30, 2013",b'Foreign',b'2 hrs. 32 min.',b'Unrated',b'N/A',"b'$738,525'"
b'Savage Nights',N/A,N/A,"b'$1,372,200'",Gramercy,"February 25, 1994",b'Foreign',b'2 hrs. 6 min.',b'Unrated',b'N/A',N/A
b'Save the Green Planet!', 2 theaters, 35 days / 5 weeks,"b'$21,000'",Koch Lorber Films,"April 22, 2005",b'Foreign',b'1 hrs. 56 min.',b'Unrated',b'N/A',N/A
b'Saving Private Perez', 165 theaters, 28 days / 4 weeks,"b'$1,505,000'",Lionsgate,"September 2, 2011",b'Foreign',b'1 hrs. 40 min.',b'PG-13',b'N/A',"b'$9,330,465'"
b'The Scent of Green Papaya',N/A,N/A,"b'$3,524,100'",First Look,"January 28, 1994",b'Foreign',b'1 hrs. 44 min.',b'Unrated',b'N/A',N/A
b'Schizo', 5 theaters, 168 days / 24 weeks,"b'$73,400'",Picture This!,"March 18, 2005",b'Foreign',b'1 hrs. 26 min.',b'Unrated',b'N/A',N/A
b'Schultze Gets the Blues', 35 theaters, 171 days / 24.4 weeks,"b'$804,000'",Paramount Classics,"February 18, 2005",b'Foreign',b'1 hrs. 50 min.',b'PG',b'N/A',"b'$4,034,232'"
b'A Screaming Man', 1 theaters,N/A,"b'$10,600'",Film Movement,"April 13, 2011",b'Foreign',b'1 hrs. 32 min.',b'Unrated',b'N/A',"b'$185,088'"
b'The Sea Inside', 99 theaters, 154 days / 22 weeks,"b'$2,849,200'",Fine Line,"December 17, 2004",b'Foreign',b'2 hrs. 5 min.',b'PG-13',b'N/A',"b'$38,535,221'"
"b""The Seagull's Laughter""", 3 theaters, 238 days / 34 weeks,"b'$101,100'",Cinema Guild,"February 13, 2004",b'Foreign',b'1 hrs. 42 min.',b'Unrated',b'N/A',N/A
b'Seaside', 1 theaters, 121 days / 17.3 weeks,"b'$21,800'",First Run,"August 6, 2003",b'Foreign',b'1 hrs. 28 min.',b'Unrated',b'N/A',"b'$15,290'"
b'The Second Mother', 223 theaters, 105 days / 15 weeks,"b'$387,900'",Oscilloscope Pictures,"August 28, 2015",b'Foreign',b'1 hrs. 51 min.',b'R',b'N/A',"b'$376,986'"
b'A Secret', 11 theaters, 245 days / 35 weeks,"b'$749,300'",Strand,"September 5, 2008",b'Foreign',b'1 hrs. 45 min.',b'Unrated',b'N/A',"b'$16,431,911'"
b'The Secret of the Grain', 3 theaters, 72 days / 10.3 weeks,"b'$100,500'",IFC,"December 24, 2008",b'Foreign',b'2 hrs. 31 min.',b'Unrated',b'N/A',"b'$14,693,141'"
b'The Secrets', 9 theaters, 149 days / 21.3 weeks,"b'$144,200'","Monterey Media, Inc.","November 26, 2008",b'Foreign',b'2 hrs. 7 min.',b'R',b'N/A',"b'$205,726'"
b'Secuestro Express', 34 theaters, 49 days / 7 weeks,"b'$415,000'",Miramax,"August 5, 2005",b'Foreign',b'1 hrs. 30 min.',b'R',b'N/A',"b'$1,898,606'"
b'Seducing Doctor Lewis', 15 theaters, 303 days / 43.3 weeks,"b'$682,100'",Wellspring,"June 16, 2004",b'Foreign',b'1 hrs. 48 min.',b'Unrated',b'N/A',N/A
b'A Separation', 282 theaters, 175 days / 25 weeks,"b'$7,738,800'",Sony Classics,"December 30, 2011",b'Foreign',b'2 hrs. 3 min.',b'PG-13',b'N/A',"b'$19,899,055'"
b'Sequins', 2 theaters, 147 days / 21 weeks,"b'$35,200'",New Yorker,"May 27, 2005",b'Foreign',b'1 hrs. 28 min.',b'Unrated',b'N/A',N/A
"b'Seraphin, un homme et son peche'", 123 theaters, 136 days / 19.4 weeks,"b'$9,889,000'",Alliance,"November 29, 2002",b'Foreign',b'1 hrs. 50 min.',b'Unrated',b'N/A',N/A
b'Seraphine', 24 theaters, 287 days / 41 weeks,"b'$1,022,400'",Music Box Films,"June 5, 2009",b'Foreign',b'2 hrs. 10 min.',b'Unrated',b'N/A',"b'$9,147,877'"
b'Serbis', 4 theaters, 133 days / 19 weeks,"b'$77,800'",Regent Releasing,"January 30, 2009",b'Foreign',b'1 hrs. 30 min.',b'R',b'N/A',"b'$155,156'"
