title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'Azumi', 6 theaters, 98 days / 14 weeks,"b'$55,300'",Vitagraph,"July 21, 2006",b'Foreign / Action',b'2 hrs. 8 min.',b'Unrated',b'N/A',"b'$6,710,522'"
b'The Baader Meinhof Complex', 38 theaters, 112 days / 16 weeks,"b'$549,400'",Vitagraph,"August 21, 2009",b'Foreign',b'2 hrs. 30 min.',b'R',b'N/A',N/A
b'Baadshah', 42 theaters,N/A,"b'$1,125,500'",Eros,"August 27, 1999",b'Foreign',b'2 hrs. 47 min.',b'Unrated',b'N/A',N/A
"b""Bab'Aziz - The Prince Who Contemplated His Soul""", 2 theaters, 273 days / 39 weeks,"b'$108,200'",Typecast Releasing,"February 8, 2008",b'Foreign',b'1 hrs. 38 min.',b'Unrated',b'N/A',"b'$353,119'"
"b""Babette's Feast""",N/A,N/A,"b'$9,268,800'",Orion Classics,"March 4, 1988",b'Foreign',b'1 hrs. 43 min.',b'G',b'N/A',N/A
b'Bachna Ae Haseeno', 71 theaters, 21 days / 3 weeks,"b'$846,900'",Yash Raj,"August 15, 2008",b'Foreign',b'2 hrs. 33 min.',b'Unrated',b'N/A',"b'$11,386,430'"
b'Back in Time (Congcong Nanian)', 20 theaters, 35 days / 5 weeks,"b'$595,400'",China Lion,"December 12, 2014",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$569,280'"
b'Back to 1942', 20 theaters, 42 days / 6 weeks,"b'$336,800'",China Lion,"November 30, 2012",b'Foreign',b'2 hrs. 26 min.',b'Unrated',b'N/A',"b'$312,954'"
b'Backstage (2006)', 2 theaters, 79 days / 11.3 weeks,"b'$16,400'",Strand,"November 22, 2006",b'Foreign',b'1 hrs. 55 min.',b'Unrated',b'N/A',"b'$40,507'"
b'Bad Blood (re-issue)',N/A,N/A,"b'$8,900'",Wellspring,"April 27, 2001",b'Foreign',b'1 hrs. 45 min.',b'R',b'N/A',N/A
b'Bad Education', 106 theaters, 161 days / 23 weeks,"b'$7,105,500'",Sony Classics,"November 19, 2004",b'Foreign',b'1 hrs. 49 min.',b'NC-17',b'$5 million',"b'$40,273,930'"
b'Badlapur', 82 theaters, 21 days / 3 weeks,"b'$436,400'",Eros,"February 20, 2015",b'Foreign',b'2 hrs. 8 min.',b'Unrated',b'N/A',N/A
b'Baghban', 50 theaters,N/A,"b'$1,520,600'",Eros,"October 3, 2003",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$7,885,479'"
b'Baise-Moi', 5 theaters,N/A,"b'$643,000'",Winstar,"September 15, 2000",b'Foreign',b'1 hrs. 17 min.',b'Unrated',b'N/A',"b'$420,224'"
b'Bajatey Raho', 44 theaters, 14 days / 2 weeks,"b'$61,200'",Eros,"July 26, 2013",b'Foreign',b'1 hrs. 50 min.',b'Unrated',b'N/A',N/A
b'Balzac and the Little Chinese Seamstress', 22 theaters, 182 days / 26 weeks,"b'$900,000'",Empire,"July 29, 2005",b'Foreign',b'1 hrs. 51 min.',b'Unrated',b'N/A',"b'$5,209,555'"
b'Bamako', 4 theaters, 254 days / 36.3 weeks,"b'$141,400'",New Yorker,"February 14, 2007",b'Foreign',b'1 hrs. 55 min.',b'Unrated',b'N/A',"b'$1,059,232'"
b'Band Baaja Baaraat', 32 theaters,N/A,"b'$47,400'",Yash Raj,"December 10, 2010",b'Foreign',b'2 hrs. 35 min.',b'Unrated',b'N/A',"b'$104,532'"
"b""The Band's Visit""", 121 theaters, 154 days / 22 weeks,"b'$3,684,100'",Sony Classics,"February 8, 2008",b'Foreign',b'1 hrs. 25 min.',b'PG-13',b'N/A',"b'$14,555,884'"
b'Bang Bang', 271 theaters, 18 days / 2.6 weeks,"b'$2,728,900'",FIP,"October 2, 2014",b'Foreign / Action',b'2 hrs. 33 min.',b'Unrated',b'N/A',"b'$42,045,981'"
b'Bang Rajan', 4 theaters, 56 days / 8 weeks,"b'$34,300'",Magnolia,"August 6, 2004",b'Foreign',b'1 hrs. 11 min.',b'R',b'N/A',"b'$24,629'"
b'Bangkok Revenge', 22 theaters, 14 days / 2 weeks,"b'$38,200'",China Lion,"September 14, 2012",b'Foreign / Action',b'1 hrs. 21 min.',b'Unrated',b'N/A',N/A
b'Baran', 9 theaters, 45 days / 6.4 weeks,"b'$187,700'",Miramax,"December 7, 2001",b'Foreign',b'1 hrs. 34 min.',b'PG',b'N/A',"b'$125,900'"
b'Barbara', 23 theaters, 203 days / 29 weeks,"b'$1,095,900'",Adopt Films,"December 21, 2012",b'Foreign',b'1 hrs. 45 min.',b'PG-13',b'N/A',"b'$4,129,250'"
b'The Barbarian Invasions', 139 theaters, 196 days / 28 weeks,"b'$4,811,800'",Miramax,"November 21, 2003",b'Foreign',b'1 hrs. 39 min.',b'R',b'N/A',"b'$26,924,656'"
b'Barfi!', 132 theaters, 45 days / 6.4 weeks,"b'$3,122,100'",UTV Communications,"September 14, 2012",b'Foreign',b'2 hrs. 30 min.',b'Unrated',b'N/A',"b'$2,804,874'"
b'Bastards', 2 theaters,N/A,"b'$25,400'",IFC,"October 23, 2013",b'Foreign',b'1 hrs. 23 min.',b'Unrated',b'N/A',"b'$24,525'"
b'Battle in Heaven', 5 theaters, 112 days / 16 weeks,"b'$93,700'",Tartan,"February 17, 2006",b'Foreign',b'1 hrs. 38 min.',b'Unrated',b'N/A',"b'$253,527'"
b'The Battle of Algiers (re-issue)', 9 theaters, 273 days / 39 weeks,"b'$1,147,600'",Rialto,"January 9, 2004",b'Foreign',b'2 hrs. 0 min.',b'Unrated',b'N/A',N/A
b'Battle of the Brides (Co Dau Dai Chien)', 6 theaters, 28 days / 4 weeks,"b'$69,400'",Variance Films,"May 6, 2011",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',N/A
